23010119751201312x,p1,100
23010119751201312x,p2,90
23010119751201312x,p3,85
23010119751201312x,p4,100
230101198009081234,p1,65
230101198009081234,p2,76
230101198009081234,p3,67
230101198107023736,p2,89
230101198107023736,p3,79
230101198107023736,p4,91
230101198204078121,p2,23
230101198204078121,p3,36
23010119950101xxxx,p2,11
23010119950101xxxx,p5,100
23010119950101xxxx,p6,100
23010119960101xxxx,p5,100
23010119960101xxxx,p6,100
23010120050101xxxx,p7,100
xxxxxxxxxxxxxxxxxx,p1,100
xxxxxxxxxxxxxxxxxx,p2,100
xxxxxxxxxxxxxxxxxx,p3,100
xxxxxxxxxxxxxxxxxx,p4,100
xxxxxxxxxxxxxxxxxx,p5,100
xxxxxxxxxxxxxxxxxx,p6,100
xxxxxxxxxxxxxxxxxx,p7,100
